PRODUCTNO,MD$STATUS,VERSION,MD$DESC,MD$USER,MD$CDATE,MD$MDATE,APP_DATE
V200140,RLS,2,충주공장 옥외 에스컬레이터,2035081,20231130170729,20231130170729,20231130171555
V200420,RLS,9,(국토부) 버티포트 기술개발(충주 버티포트),2033534,20260820131429,20260820131429,20260821170239
V200480,RLS,13,충주 아산타워 낙하승강로 레일 설치 공사,2037882,20260624114245,20260624114245,20260625083817
V300161,CRT,wip,충주타워 시설투자,2028379,20221220110233,20221220110233,
V300520,RLS,3,TM모터검사 장비 고도화,2016257,20241211150620,20241212094906,20241212101944
V500181,RLS,0,2020년 Product Design Line-up,2027178,20221129152023,20221129152023,
V500318,RLS,0,GT100 권상기 대체 GX100확장 개발_시설투자,2019965,20221004173134,20221004173134,
V500320,RLS,1,Anti Bouncing Device 개발 투자,2032171,20220922133428,20220922133428,
V500468,RLS,0,국내 저가형 버튼(21버튼 리뉴얼) 개발 (시설투자),2006235,20240423133530,20240423134524,20240424083841
V500582,RLS,0,Buffer Footing 도면 변경에 따른 Support 금형 신규 제작의 건,2031353,20220609111837,20220609111837,
V500600,RLS,2,STO향 Low End 시스템 개발 예산투자 품의 건,2024829,20231214111955,20231214111955,20231214113434
V500601,RLS,4,Clean Tech 솔루션(로비층 음성인식장치) 개발 예산투자 품의 건,2031035,20240529144113,20240529144113,20240611133422
V500721,RLS,2,타사 제품 전용 MOD Kit 개발,2032082,20221027103826,20221027103826,
V500780,RLS,0,목금형 수리 및 신규제작에 따른 예산 집행 품의 건,2032244,20220920154411,20220920154411,
V500832,RLS,1,진동계측용 소모성 자재_시설투자,2032171,20221109151318,20221109151318,
V500870,RLS,1,EL동특성 해석용 Workstation_시설투자,2032171,20221117083534,20221117083534,
V500883,CRT,wip,"#4호기 (21인승, 600mpm) 더블데크 EL 시설투자",2028379,20221220105919,20221220105919,
V500884,RLS,5,"#5호기 (21인승, 1260mpm) 초고속 EL 시설투자",2032961,20250704164630,20250704164630,20250704165237
V500894,RLS,0,대형 터치형 행선층 입력장치 개발 시설투자비,2031159,20231128175731,20231128175731,20231129083013
V500927,RLS,3,세대 내 소음 저감을 위한 승강로 방진구조 개발(시설투자비),2033542,20230911200807,20230911201213,
V500950,CRT,wip,DV를 통한 설계품질확보(내구 성능 시험기),2028379,20230302154506,20230302154506,
V500951,CRT,wip,DV를 통한 설계품질확보(Software & Hardware),2028379,20230302154527,20230302154527,
V500955,CRT,wip,프로그램 관리 및 통합툴 개발 품의(MIRI TOOL),2029910,20230502100026,20230502100026,
V500982,RLS,6,7500kg급 용량 초고속 (360mpm) Safety Device 개발(시설투자비),2030985,20240321125019,20240321125019,20240326124528
V501027,RLS,3,N:EX 150mpm-1600kg 개발_시설투자비,2027313,20230919121343,20230919121343,
V501054,RLS,0,금형 신규제작에 따른 예산,2026023,20230614111640,20230614111640,
V501056,RLS,1,중국산 전기강판 및 신규 Magnet업체 개발,2034956,20230627161458,20230627161458,
V501067,RLS,11,태국 Nova Build Expo 전시제품,2031345,20230925083655,20230925083655,
V501080,RLS,0,HIP-DBxx INDICATOR COVER 금형,2026023,20230427153048,20230427153048,
V501103,RLS,0,N:EX 브레이크 국산화 개발 예산투자 품의 건,2020840,20230711084252,20230711084252,20240228105618
V501121,WIP,wip,인터널오더(연구개발등) 표준 프로젝트,2036347,20241016153240,20241016153240,20231117091638
V501123,RLS,0,북미용 엘리베이터 시스템 개발,2024829,20230808103556,20230808103637,
V501145,RLS,0,PIT E-STOP & LAMP 스위치 BOX 개발(시설투자),2026023,20230821091744,20230821091744,
V501146,RLS,0,GAP LIGHTING SILL 개발(시설투자),2026023,20230821092816,20230821092816,
V501147,RLS,9,2023 한국국제승강기엑스포,2034174,20231103092745,20231103092745,20231103094330
V501151,RLS,0,TM 모델 GN50 노후 목금형 신규 제작,2028379,20231117112105,20231117112105,20231122141716
V501153,RLS,0,고속/초고속 시스템 최적화 개발의 건_시설투자비,2032147,20260416084401,20260416084401,20260417110018
V501191,CRT,wip,PID-90 고정력 개선에 따른 금형수정,2026023,20230921083404,20230921083404,
V501207,RLS,0,(추가예산)8x 버튼 금형비,2026023,20231011133502,20231011133502,20231017161125
V501241,RLS,1,(추가예산)중국법인 제품 국내 시장 도입 (LUXEN GLOBAL)시설투자,2033542,20240620211119,20240620211211,20240620212203
